t	S1	S2	S3	S4	S5	S6	S7
7.783891945972985837e+00	1.559705039175523389e+00	3.223951741563886308e-01	4.823632325052252395e-02	9.723095387304590831e-02	1.118977107687832429e-01	1.902392164481601533e+00	5.783756277863421474e-02
7.788894447223611905e+00	1.563774573658398115e+00	3.284287218328800773e-01	4.873492441474962245e-02	9.749621048985857019e-02	1.103965250840107520e-01	1.918741882947156752e+00	5.757583488016630724e-02
7.793896948474237085e+00	1.567652505660654505e+00	3.346297265512928054e-01	4.924994774672403208e-02	9.778750832838363494e-02	1.130578567995860484e-01	2.015938858789621868e+00	5.731993037057243889e-02
7.798899449724862265e+00	1.571334020754699079e+00	3.410016028108611708e-01	4.978136957643424648e-02	9.810506067643495753e-02	1.057587833111093140e-01	1.902390302319233228e+00	5.706992829488011926e-02
7.803901950975487445e+00	1.574814133640542568e+00	3.475479623771626225e-01	5.032918444013108339e-02	9.844910370561645030e-02	1.174305827303148420e-01	1.753726683283765020e+00	5.682590811652309115e-02
7.808904452226112625e+00	1.578087710159540524e+00	3.542725869305837216e-01	5.089340443641954953e-02	9.881989226736483112e-02	1.127909350678775596e-01	1.797300529377641176e+00	5.658794937794570101e-02
7.813906953476737804e+00	1.581149416268690100e+00	3.611794935617576585e-01	5.147406155362987956e-02	9.921770747392810730e-02	1.168826154519438110e-01	1.766779349503107444e+00	5.635613246564520618e-02
7.818909454727363872e+00	1.583993753381250036e+00	3.682728892552264433e-01	5.207120595052363438e-02	9.964285169549187693e-02	1.147093399132426139e-01	1.708111772650877880e+00	5.613053807925127286e-02
7.823911955977989052e+00	1.586615007400162147e+00	3.755572381485808853e-01	5.268490809322587398e-02	1.000956560112869070e-01	1.223180384939881182e-01	1.689517846235353948e+00	5.591124792403289606e-02
7.828914457228614232e+00	1.589007254282489123e+00	3.830372541792472219e-01	5.331525862372760161e-02	1.005764792605412933e-01	1.248816094578556884e-01	1.750904663817895335e+00	5.569834463613040215e-02
